S5699R04,343.0,247.0,91.4
S5686L00,383.0,277.0,96.2
S5553R07,337.0,237.0,89.8
S5633L04,397.0,177.0,91.6
S5531R02,225.0,189.0,89.6
S5614L05,469.0,249.0,81.4
S5409L06,325.0,125.0,102.8
S5017L07,377.0,233.0,105.6
S5784R04,313.0,199.0,109.4
S5876L02,359.0,229.0,79.2
S5787R02,211.0,203.0,108.2
S5405L09,181.0,327.0,92.0
S5211L01,379.0,179.0,97.0
S5921L02,457.0,237.0,82.4
S5036R05,301.0,227.0,108.6
S5169L00,473.0,327.0,99.2
S5672R02,259.0,241.0,94.8
S5703R06,303.0,199.0,83.8
S5524L07,267.0,187.0,101.2
S5649R00,275.0,229.0,95.8
S5833L01,361.0,247.0,106.0
S5142L08,329.0,325.0,96.2
S5609R08,301.0,201.0,81.8
S5518R03,223.0,247.0,90.4
S5282L03,315.0,225.0,102.6
S5650L06,397.0,219.0,114.0
S5690R02,221.0,167.0,91.4
S5426L04,255.0,175.0,102.6
S5043L01,341.0,111.0,99.4
S5527R03,319.0,219.0,94.8
S5384R07,307.0,227.0,84.6
S5665R01,265.0,145.0,86.8
S5272R07,217.0,227.0,89.0
S5349L01,365.0,189.0,83.2
S5379L05,397.0,97.0,90.2
S5569R01,239.0,245.0,97.6
S5866R05,239.0,239.0,83.6
S5154L00,421.0,211.0,78.2
S5900L07,351.0,203.0,90.4
S5394L05,445.0,193.0,108.6
S5469L05,323.0,249.0,84.6
S5274L06,299.0,193.0,99.6
S5417L06,359.0,205.0,98.2
S5574L03,427.0,187.0,108.8
S5042L08,417.0,227.0,90.2
S5962R06,295.0,199.0,94.4
S5846L03,437.0,183.0,99.2
S5094L06,293.0,201.0,106.8
S5801L09,333.0,273.0,97.6
S5220L03,359.0,195.0,96.8
S5526L03,331.0,177.0,99.2
S5363R09,325.0,245.0,96.4
S5719L08,377.0,221.0,92.2
S5557R05,205.0,215.0,83.2
S5200L08,401.0,229.0,87.8
S5837R00,293.0,209.0,95.0
S5711L05,379.0,225.0,86.8
S5240R07,269.0,195.0,79.6
S5978L08,393.0,181.0,92.2
S5951L08,401.0,233.0,92.2
S5598R07,129.0,299.0,81.8
S5143L09,287.0,257.0,83.0
S5031L05,327.0,153.0,101.0
S5032L09,339.0,203.0,91.2
S5731L00,365.0,249.0,96.8
S5080L07,371.0,271.0,84.6
S5555L02,327.0,237.0,93.2
S5114R09,293.0,193.0,88.8
S5403L03,387.0,207.0,104.6
S5283L06,425.0,179.0,90.2
S5488R02,269.0,225.0,82.8
S5238L08,399.0,179.0,94.4
S5136R03,303.0,215.0,94.0
S5008L06,305.0,249.0,97.2
S5525L06,343.0,259.0,90.2
S5635L02,425.0,125.0,97.8
S5699L00,389.0,165.0,96.4
S5135L08,351.0,231.0,103.4
S5224L00,397.0,203.0,80.0
S5165R09,279.0,231.0,92.0
S5358R04,287.0,277.0,85.6
S5293R07,367.0,281.0,92.6
S5575R05,255.0,231.0,102.4
S5321R04,395.0,305.0,86.6
S5242R08,275.0,199.0,83.4
S5118L02,285.0,179.0,85.6
S5046L00,355.0,219.0,111.4
S5046L09,349.0,289.0,86.0
S5120R08,311.0,213.0,86.6
S5653L00,271.0,147.0,101.4
S5695L02,307.0,205.0,84.2
S5622R02,257.0,187.0,85.8
S5683L09,315.0,275.0,103.0
S5243L09,319.0,219.0,90.8
S5572L07,369.0,229.0,91.4
S5207L04,387.0,167.0,91.8
S5065L05,349.0,229.0,89.6
S5475L08,333.0,221.0,91.8
S5627L09,407.0,243.0,89.8
S5642L00,291.0,207.0,101.0
S5524L08,329.0,175.0,101.0
S5518R05,255.0,215.0,87.2
S5212R06,297.0,253.0,90.6
S5160R04,263.0,243.0,88.2
S5208R09,249.0,199.0,85.8
S5060L00,413.0,327.0,92.0
S5891L08,461.0,193.0,108.0
S5601L04,333.0,211.0,93.0
S5740L00,345.0,205.0,96.6
S5660L07,333.0,211.0,93.2
S5080L09,359.0,269.0,90.8
S5977R09,329.0,209.0,86.2
S5425R01,349.0,235.0,93.6
S5873R06,303.0,203.0,89.6
S5150R03,307.0,207.0,86.8
S5750R02,299.0,279.0,94.4
S5090R04,287.0,221.0,91.8
S5771L06,341.0,179.0,90.8
S5752R07,349.0,259.0,90.6
S5705R01,365.0,215.0,98.0
S5963R00,309.0,215.0,77.8
S5584R09,321.0,233.0,90.0
S5139L01,325.0,179.0,82.2
S5412R07,277.0,213.0,80.8
S5941L05,375.0,219.0,89.2
S5906L01,345.0,175.0,99.4
S5006L01,309.0,199.0,88.6
S5371L09,329.0,219.0,79.6
S5616L00,399.0,231.0,91.4
S5007L04,449.0,209.0,111.8
S5742L06,399.0,225.0,94.4
S5352L01,315.0,225.0,96.6
S5625L03,389.0,185.0,96.8
